"Linha" "Municipio" "Estado" "Ano" "POPULACAO" "PIB" "IPTU" "ISS" "ITBI"
"216" "Santa Maria" "RS" 2008 266822 3196207086 15584006.04 21294132.41 6000961.69
"217" "Santarém" "PA" 2008 275571 1636460007 1732863.12 9540884.47 853668.68
"218" "Santo André" "SP" 2008 671696 13303110410 147388401.8 137367194.7 30769105.93
"219" "Santos" "SP" 2008 417518 24557090518 167660740.6 201848480 26064281.77
"220" "São Bernardo do Campo" "SP" 2008 801580 29981270679 187382324.9 199799360.5 28248450.93
"221" "São Carlos" "SP" 2008 218080 3897084353 38563283.75 18833814.75 5071996.12
"222" "São José" "SC" 2008 199280 4096185030 15850374.52 16423147.72 5735087.26
"223" "São José do Rio Preto" "SP" 2008 414272 7034888906 55116802.61 55393538.76 14325462.54
"224" "São José dos Campos" "SP" 2008 609229 20700679822 62906646.28 152287520.5 29167554.47
"225" "São José dos Pinhais" "PR" 2008 272530 10397114932 12135305.6 44338234.87 5537297.88
"226" "São Leopoldo" "RS" 2008 210145 3002492436 14134202.14 18821006.5 3675172.22
"227" "São Luís" "MA" 2008 986826 14720890882 27258336.42 209930826.9 8857999.11
"228" "São Paulo" "SP" 2008 10990249 356980045427 2913648361 5599100962 706246962
"229" "São Vicente" "SP" 2008 328522 2446468944 46838304.39 13352777.53 6041806.83
"230" "Serra" "ES" 2008 397226 10801039495 11329330.87 85641617.8 9035936.26
"231" "Sete Lagoas" "MG" 2008 221764 4736055901 8686112.42 16582038.06 3163601.38
"232" "Sobral" "CE" 2008 180046 1715271762 1749864.19 6775620.4 638795.37
"233" "Sorocaba" "SP" 2008 576312 13046651716 57613472.19 98303329.63 26563355.89
"234" "Sumaré" "SP" 2008 237135 6796696837 15707049.74 24682417.95 4162771.02
"235" "Suzano" "SP" 2008 279394 5295112919 28577386.9 15521657.05 2556639.52
"236" "Taubaté" "SP" 2008 270918 6882174911 32504934 39214620.14 7223882.02
"237" "Teresina" "PI" 2008 793915 7505653217 16479558.93 63815284.35 6460714.81
"238" "Uberaba" "MG" 2008 292377 6212441487 10502378.2 21870930.76 8125888.75
"239" "Uberlândia" "MG" 2008 622441 14253571202 21582607 74814448 17697447
"240" "Várzea Grande" "MT" 2008 237925 2677593572 2570596.38 18941655.37 1770627.18
"241" "Viamão" "RS" 2008 257844 1655206694 2346250.9 4774050.74 1723091.83
"242" "Vila Velha" "ES" 2008 407579 5510536098 14150814.09 66277970.36 13651002.96
"243" "Vitória da Conquista" "BA" 2008 313898 2650249158 6013380.66 15182393.35 1747449.66
"244" "Volta Redonda" "RJ" 2008 259811 8943345158 54694300 44841000 2942900
"245" "Alvorada" "RS" 2009 213894 1204553802 3287781.69 5130518.38 1538615.88
"246" "Americana" "SP" 2009 205229 6125809916 25533737.8 28567487.21 3058634.36
"247" "Ananindeua" "PA" 2009 505512 3253846884 5313907.18 19873898.12 1693797.07
"248" "Anápolis" "GO" 2009 335960 8109152400 23962508.81 18626144.15 7351359.75
"249" "Aparecida de Goiânia" "GO" 2009 510770 4598865134 30744918.36 19514323.23 8815465.84
"250" "Aracaju" "SE" 2009 544039 7104252294 41197120.9 91130321.95 20941637.66
"251" "Arapiraca" "AL" 2009 210521 1660255943 855682.14 5765552.52 1729553.04
"252" "Barueri" "SP" 2009 270173 26909801589 12488243.48 440031134.77 17534150.58
"253" "Bauru" "SP" 2009 359429 6793847966 37574909.62 37314960.45 9240571.01
"254" "Belém" "PA" 2009 1437600 16568143643 40289591 168369454 12772373
"255" "Belford Roxo" "RJ" 2009 501544 3986624199 5507644.02 16707970.87 667164.37
"256" "Belo Horizonte" "MG" 2009 2452617 44729412988 431775950.5 564476347.9 154276652.63
"257" "Betim" "MG" 2009 441748 24974494632 17243603.65 49329987.08 4635637.11
"258" "Blumenau" "SC" 2009 299416 7677767263 33645644.73 56043980.23 9742855.01
"259" "Boa Vista" "RR" 2009 266901 4089951975 8302666.34 23808290.33 1885689.23
"260" "Camaçari" "BA" 2009 234558 13615507232 26140630.45 66369526.79 7072926.65
"261" "Campina Grande" "PB" 2009 383764 3894564515 4374218.73 23755872.83 2750835.08
"262" "Campinas" "SP" 2009 1064669 31653413836 282409813.53 352438332.35 37529841.89
"263" "Campo Grande" "MS" 2009 755107 11640898484 133331732.43 130943828.52 19851021.79
"264" "Canoas" "RS" 2009 332056 16237174979 9416287.42 43030377.87 9951266.6
"265" "Cariacica" "ES" 2009 365859 3862271476 4292181.1 32762460.07 1642143.97
"266" "Cascavel" "PR" 2009 296254 4986468528 11917807.13 30781265.72 9207194.15
"267" "Caucaia" "CE" 2009 334364 2182800945 2941524.44 10569504.07 1674542.45
"268" "Caxias do Sul" "RS" 2009 410166 12265676724 35478339.72 79175381.16 22530964.71
"269" "Chapecó" "SC" 2009 174187 4342688605 10280226.11 20656220.58 4028028.5
"270" "Contagem" "MG" 2009 625393 15327434889 23498650.7 60141832.26 20496345.84
"271" "Criciúma" "SC" 2009 188557 3188576771 7000000 16000000 5000000
"272" "Cuiabá" "MT" 2009 550562 9819381907 20988099.37 98244486.54 9270222.92
"273" "Curitiba" "PR" 2009 1851215 45741463246 284334830.5 509386355.62 122266727.32
"274" "Diadema" "SP" 2009 397738 9969627236 62551259.77 42925890.22 3952271.96
"275" "Divinópolis" "MG" 2009 216099 2822843816 12020658.25 15562549.32 3669875.25
"276" "Dourados" "MS" 2009 189762 3003962884 17789202.84 22159021.62 4788699.21
"277" "Feira de Santana" "BA" 2009 591707 6545416109 9997795.55 41632173 4692410.86
"278" "Florianópolis" "SC" 2009 408161 8289200035 99945645.72 113242704.55 35144552.08
"279" "Fortaleza" "CE" 2009 2505552 31373473280 114115675.26 294521301 46335798.95
"280" "Foz do Iguaçu" "PR" 2009 325137 6702393563 12986995.72 22954369.74 4233006.15
"281" "Franca" "SP" 2009 330938 4220403761 36355739.17 24264863.34 4324687.46
"282" "Goiânia" "GO" 2009 1281975 21380256109 214924789.03 254022663.92 80220208.39
"283" "Governador Valadares" "MG" 2009 263274 2861661625 11009184 21629200 3419610
"284" "Gravataí" "RS" 2009 269446 5796916130 6437885.79 12768388.21 3484379.96
"285" "Guarujá" "SP" 2009 308058 3428973823 172935657.89 61816150.41 18103657.19
"286" "Guarulhos" "SP" 2009 1299283 32475487479 199906576.01 136923847.19 19703535.62
"287" "Hortolândia" "SP" 2009 205856 4855765482 12874564 64519228 2251649
"288" "Indaiatuba" "SP" 2009 183803 5156204627 39978106.96 24091835.76 9727302.23
"289" "Ipatinga" "MG" 2009 244508 5679820771 20192167.96 41021052.44 5128629.11
